source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,C24H40O2_004,C24H40O2,False,True,-0.3595025320095424,0.6980234840537841,0.4872367842905834,1,21,0,1,2,0,0,0
pseudo_negative,C24H40O_001,C24H40O,False,True,-0.34696098981663176,0.7068329014010236,0.4996127505029892,1,19,1,3,0,0,0,0
pseudo_negative,C24H40O_002,C24H40O,False,True,-0.34557098453091967,0.7078160860276981,0.5010036116395696,1,20,0,2,1,0,0,0
pseudo_negative,C24H40_001,C24H40,False,True,-0.3316394370522969,0.7177460688428162,0.5151594193393166,1,19,0,3,0,0,0,0
pseudo_negative,C24H42O2_001,C24H42O2,False,True,-0.36388907040114543,0.6949682830199978,0.4829809144037638,0,20,1,3,1,0,0,0
pseudo_negative,C24H42O2_002,C24H42O2,False,True,-0.36249906511543334,0.6959349642971954,0.4843254745313386,0,21,0,2,2,0,0,0
pseudo_negative,C24H42O2_003,C24H42O2,False,True,-0.3698060528546135,0.6908683095809991,0.4772990211833072,1,20,2,2,0,0,0,0
pseudo_negative,C24H42O2_004,C24H42O2,False,True,-0.36841604756890134,0.6918292879107999,0.47862776361116444,1,21,1,1,1,0,0,0
pseudo_negative,C24H42O2_005,C24H42O2,False,True,-0.36702604228318925,0.6927916029343492,0.4799602050963449,1,22,0,0,2,0,0,0
pseudo_negative,C24H42O_001,C24H42O,False,True,-0.3485675176368106,0.7056982663361385,0.4980100431098315,0,20,0,3,1,0,0,0
pseudo_negative,C24H42O_002,C24H42O,False,True,-0.35448450009027865,0.7015349912362268,0.49215134392881277,1,20,1,2,0,0,0,0
pseudo_negative,C24H42O_003,C24H42O,False,True,-0.3530944948045665,0.7025108066193118,0.493521433416916,1,21,0,1,1,0,0,0
pseudo_negative,C24H42_001,C24H42,False,True,-0.3391629473259438,0.7123663614376738,0.5074658329079506,1,20,0,2,0,0,0,0
pseudo_negative,C24H44O2_001,C24H44O2,False,True,-0.3728025859605044,0.6888011984497499,0.47444709098581167,0,20,2,3,0,0,0,0
pseudo_negative,C24H44O2_002,C24H44O2,False,True,-0.37141258067479227,0.6897593014862786,0.475767893986839,0,21,1,2,1,0,0,0
pseudo_negative,C24H44O2_003,C24H44O2,False,True,-0.3700225753890802,0.6907187372171039,0.4770923739427906,0,22,0,1,2,0,0,0
pseudo_negative,C24H44O2_004,C24H44O2,False,True,-0.3773295631282603,0.6856900584942001,0.4701708563177795,1,21,2,1,0,0,0,0
pseudo_negative,C24H44O2_005,C24H44O2,False,True,-0.3759395578425482,0.6866438340228134,0.47147975480154886,1,22,1,0,1,0,0,0
pseudo_negative,C24H44O_001,C24H44O,False,True,-0.3574810331961696,0.6994359648816604,0.48921066896993926,0,20,1,3,0,0,0,0
pseudo_negative,C24H44O_002,C24H44O,False,True,-0.35609102791045744,0.700408860578298,0.49057257197658966,0,21,0,2,1,0,0,0
pseudo_negative,C24H44O_003,C24H44O,False,True,-0.3620080103639255,0.6962767903889484,0.4848013688343356,1,21,1,1,0,0,0,0
pseudo_negative,C24H44O_004,C24H44O,False,True,-0.36061800507821334,0.6972452917629843,0.48615099688564917,1,22,0,0,1,0,0,0
pseudo_negative,C24H44_001,C24H44,False,True,-0.34215948043183475,0.710234927103758,0.5044336516780805,0,20,0,3,0,0,0,0
pseudo_negative,C24H44_002,C24H44,False,True,-0.34668645759959066,0.7070269764432298,0.49988714541845536,1,21,0,1,0,0,0,0
pseudo_negative,C24H46O2_001,C24H46O2,False,True,-0.38032609623415126,0.6836384409386633,0.4673615179290463,0,21,2,2,0,0,0,0
