stage,rank,A,E_ref,k,total_loss,positive_loss,separation_loss,regularization_loss,mean_positive_log_score,pseudo_log_score_statistic,score_gap
random,65,6.632081262709162,292.02440835919526,1119.3173480354378,0.05615352753354979,0.045962929570308425,0.01334469259322113,0.00018207851832551585,-0.045962929570308425,-0.1326182369770873,0.08665530740677888
random,66,7.8661883140230895,336.25508123435435,2320.0109614157186,0.056170863067760424,0.048143417273323406,0.00966477470785343,0.0007788647635469426,-0.048143417273323406,-0.13847864256547,0.09033522529214658
random,67,15.886638245289783,105.37624839856328,238.30741152209563,0.05618700800469187,0.052821196916679046,0.0,0.003365811088012821,-0.052821196916679046,-0.1545426960955035,0.10172149917882445
random,68,7.261086586623767,390.5633699573785,2736.2654027667513,0.0561938878077351,0.04907783743503943,0.007907718356443966,0.0011852616053626942,-0.04907783743503943,-0.14117011907859547,0.09209228164355604
random,69,9.647019471781087,84.88737443556829,163.08150062327877,0.05625787323359097,0.051373982785277356,0.0,0.004883890448313617,-0.051373982785277356,-0.15189490275319956,0.1005209199679222
random,70,17.074163202167238,139.96436680707234,605.0382745997449,0.056297311375845545,0.04718897729807791,0.010651218555501996,0.001119920161141138,-0.04718897729807791,-0.13653775874257593,0.08934878144449801
random,71,3.840567448396821,468.08236062066453,920.6814768304681,0.056309424810397884,0.04666000584143687,0.0113718739394853,0.0011205135143470435,-0.04666000584143687,-0.13528813190195157,0.0886281260605147
random,72,13.33133555893586,254.37373553191983,3724.3910619722815,0.05632958508880559,0.05449072174286612,0.0,0.0018388633459394687,-0.05449072174286612,-0.15649822918116174,0.10200750743829562
random,73,2.6005398300252525,399.2633985769274,426.57035229738455,0.05634775047430289,0.04859541290652897,0.006840958805702679,0.0026216184634969154,-0.04859541290652897,-0.1417544541008263,0.09315904119429733
random,74,4.125635939082965,907.3773315509827,2301.282005507513,0.05637266678796567,0.05006033537969218,0.0048117883714843546,0.0027034901296602246,-0.05006033537969218,-0.14524854700820783,0.09518821162851565
random,75,3.603979121960142,169.20770334896022,227.39652627337335,0.05638244206921468,0.049173309599147015,0.0048615256656835415,0.00356298822080501,-0.049173309599147015,-0.14431178393346347,0.09513847433431646
random,76,6.0114822472033795,533.8477225601923,3143.1554196417405,0.056396006044316126,0.04993840001286134,0.006073217774060113,0.0019026927009097015,-0.04993840001286134,-0.14386518223880124,0.09392678222593989
random,77,8.816992620243074,224.85027489467024,991.2176149535219,0.056403543048641536,0.04518479638580148,0.01482623006668049,9.907411282968894e-05,-0.04518479638580148,-0.130358566319121,0.08517376993331952
random,78,12.051229326688677,186.24228256260545,967.357591702145,0.05642187425291213,0.04557502601608652,0.014111545081972238,0.00026318942534643704,-0.04557502601608652,-0.13146348093411428,0.08588845491802777
random,79,29.268408494066275,106.20225037853614,415.61348574634997,0.05646715291999805,0.050362737100549164,0.004135825111973662,0.0030025469854686364,-0.050362737100549164,-0.14622691198857551,0.09586417488802634
random,80,6.0568795620958475,274.5686820187306,675.187147189641,0.05648652720315008,0.056073023683630444,0.0,0.00041350351951963604,-0.056073023683630444,-0.1620946176510032,0.10602159396737275
random,81,28.866288973097426,161.7809828710926,3696.8375657112815,0.056507591540622466,0.05329294963380335,0.0,0.003214641906819116,-0.05329294963380335,-0.15344971969492519,0.10015677006112184
random,82,17.76400487812478,152.75912736448987,761.1929119833645,0.056533852594734584,0.05567372557031991,0.0,0.0008601270244146739,-0.05567372557031991,-0.16065857063209635,0.10498484506177644
random,83,4.082712110854285,574.5095926409939,1371.796288761343,0.05657824970848551,0.04673199525686925,0.011362223125595594,0.001324587107419561,-0.04673199525686925,-0.13536977213127366,0.08863777687440441
random,84,2.475454661248792,329.0683293346298,339.82850060043916,0.05662398610937383,0.048694247717165295,0.006409334114461929,0.0031227378063620917,-0.048694247717165295,-0.14228491360270337,0.09359066588553808
random,85,10.610517529243186,188.88312970183762,825.9763355097833,0.05666424739527943,0.04470530515292895,0.015606437854954497,0.00025411385113460516,-0.04470530515292895,-0.12909886729797446,0.08439356214504551
random,86,6.780908719776415,119.73396881354365,215.18103330910782,0.056701459250486606,0.04761938830701613,0.007636473853935746,0.003354715553018663,-0.04761938830701613,-0.1399829144530804,0.09236352614606426
random,87,4.300877861800296,186.5785615506809,290.75758822982397,0.056704171407535406,0.046921149975286076,0.009759521747239958,0.002463380121819358,-0.046921149975286076,-0.13716162822804612,0.09024047825276005
random,88,6.712419472384599,189.61362268295463,365.74848084120845,0.056707150440798215,0.05532610354453413,0.0,0.0013810468962640878,-0.05532610354453413,-0.16071882255388406,0.10539271900934993
random,89,1.6399306476044355,589.7789127031564,339.4114023046602,0.05673603317923119,0.05152152492649375,0.00042852329664361255,0.004893115780254729,-0.05152152492649375,-0.15109300162985015,0.09957147670335639
random,90,8.503916088844246,178.92778134528368,523.4732240271835,0.05678207047109331,0.04458742009455283,0.015309796467757986,0.0007123030257219845,-0.04458742009455283,-0.12927762362679485,0.08469020353224202
random,91,8.909306969718603,91.79121292602899,179.30637055909082,0.05678569143536734,0.04859444275375974,0.005095513740527913,0.00436961337621167,-0.04859444275375974,-0.14349892901323183,0.09490448625947209
random,92,9.316934513217316,293.5549709185316,2090.691498613293,0.056790049964388745,0.05624067386074654,0.0,0.0005493761036422004,-0.05624067386074654,-0.16167738551769664,0.1054367116569501
random,93,2.826987469396969,896.7952501741408,993.7914400129346,0.056844437265478845,0.04785394922633389,0.008260284018323807,0.002795275025402096,-0.04785394922633389,-0.1395936652080101,0.0917397159816762
