source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C14H28O_002,C14H28O,True,True,-0.6479508507681677,0.52311662325087,0.2274177550196526,0,13,2,0,0,0,0,0
positive,C14H28_001,C14H28,False,True,-0.5525516291025121,0.5754795250627629,0.18021763364093735,0,12,0,1,0,0,0,0
positive,C14H29O2_001,C14H29O2,False,True,-0.659079590407218,0.5173272684114811,0.23297296581912239,0,13,1,0,0,1,0,0
positive,C14H29O2_002,C14H29O2,False,True,-0.659079590407218,0.5173272684114811,0.23297296581912239,0,13,1,0,0,1,0,0
positive,C14H29O4_001,C14H29O4,False,True,-0.7556542454011455,0.4697032130164048,0.28121468228512464,0,13,2,0,0,2,0,0
positive,C14H29O_001,C14H29O,False,True,-0.6052278930907291,0.5459499942300361,0.20616140773970426,0,13,1,0,0,0,0,0
positive,C14H29_001,C14H29,False,True,-0.5625049354132905,0.5697800126241366,0.18508923753768808,0,13,0,0,0,0,0,0
positive,C14H30O2_001,C14H30O2,False,True,-0.659079590407218,0.5173272684114811,0.23297296581912239,0,13,1,0,0,1,0,0
positive,C14H30_001,C14H30,False,True,-0.5625049354132905,0.5697800126241366,0.18508923753768808,0,13,0,0,0,0,0,0
positive,C15H29O_001,C15H29O,False,True,-0.6351741222333038,0.5298432227998078,0.22104739514727118,0,14,0,0,1,0,0,0
positive,C15H29_001,C15H29,False,True,-0.5958212395189191,0.5511097868370469,0.20150242347348146,0,13,0,1,0,0,0,0
positive,C15H30O3_001,C15H30O3,False,True,-0.7317487772272313,0.48106697508565616,0.26929148434675093,0,14,1,0,1,1,0,0
positive,C15H30O_001,C15H30O,False,True,-0.6351741222333038,0.5298432227998078,0.22104739514727118,0,14,0,0,1,0,0,0
positive,C15H30O_002,C15H30O,True,True,-0.6912204611845747,0.5009642883458987,0.24903664150611535,0,14,2,0,0,0,0,0
positive,C15H30_001,C15H30,False,True,-0.5958212395189191,0.5511097868370469,0.20150242347348146,0,13,0,1,0,0,0,0
positive,C15H31O2_001,C15H31O2,False,True,-0.702349200823625,0.4954200943780738,0.25460088115743196,0,14,1,0,0,1,0,0
positive,C15H31O2_002,C15H31O2,False,True,-0.702349200823625,0.4954200943780738,0.25460088115743196,0,14,1,0,0,1,0,0
positive,C15H31O4_001,C15H31O4,False,True,-0.7989238558175524,0.44981276714217644,0.30270599119974895,0,14,2,0,0,2,0,0
positive,C15H31O_001,C15H31O,False,True,-0.6484975035071361,0.5228307382629952,0.2276905043466382,0,14,1,0,0,0,0,0
positive,C15H31_001,C15H31,False,True,-0.6057745458296975,0.5456516307283932,0.2064324406597684,0,14,0,0,0,0,0,0
positive,C15H32O2_001,C15H32O2,False,True,-0.702349200823625,0.4954200943780738,0.25460088115743196,0,14,1,0,0,1,0,0
positive,C15H32_001,C15H32,False,True,-0.6057745458296975,0.5456516307283932,0.2064324406597684,0,14,0,0,0,0,0,0
positive,C16H31_001,C16H31,False,True,-0.639090849935326,0.5277720299683134,0.2229992556802475,0,14,0,1,0,0,0,0
positive,C16H32O3_001,C16H32O3,False,True,-0.7750183876436383,0.46069530981990076,0.2908495488502529,0,15,1,0,1,1,0,0
positive,C16H32O_001,C16H32O,True,True,-0.7344900716009817,0.47975003477868405,0.27066002631278047,0,15,2,0,0,0,0,0
positive,C16H32_001,C16H32,False,True,-0.639090849935326,0.5277720299683134,0.2229992556802475,0,14,0,1,0,0,0,0
positive,C16H33O2_001,C16H33O2,False,True,-0.7456188112400319,0.47444061989470887,0.2762126620166579,0,15,1,0,0,1,0,0
